group,distance_metric,outcome,n_links,spearman_rho,p_value,decision
all,morph_distance,child_fitness,34984,-0.6103007690492379,0.0,significant
all,morph_distance,fitness_delta,34984,-0.4466242689864478,0.0,significant
all,shape_distance,child_fitness,34984,-0.6192168218766296,0.0,significant
all,shape_distance,fitness_delta,34984,-0.45862719087362513,0.0,significant
all,occupied_union_material_distance,child_fitness,34984,-0.6309766464204151,0.0,significant
all,occupied_union_material_distance,fitness_delta,34984,-0.407606984848246,0.0,significant
all,material_substitution_distance,child_fitness,34984,-0.4477999061361535,0.0,significant
all,material_substitution_distance,fitness_delta,34984,-0.34128558863557323,0.0,significant
all,trait_profile_distance,child_fitness,34984,-0.6257537430330907,0.0,significant
all,trait_profile_distance,fitness_delta,34984,-0.4490850988868667,0.0,significant
arithmetic_recombination,morph_distance,child_fitness,11755,-0.6815602838427821,0.0,significant
arithmetic_recombination,morph_distance,fitness_delta,11755,-0.5156719551311568,0.0,significant
arithmetic_recombination,shape_distance,child_fitness,11755,-0.6844943009983404,0.0,significant
arithmetic_recombination,shape_distance,fitness_delta,11755,-0.5237707070445369,0.0,significant
arithmetic_recombination,occupied_union_material_distance,child_fitness,11755,-0.6762838596527375,0.0,significant
arithmetic_recombination,occupied_union_material_distance,fitness_delta,11755,-0.4825743423665578,0.0,significant
arithmetic_recombination,material_substitution_distance,child_fitness,11755,-0.44381672969537683,0.0,significant
arithmetic_recombination,material_substitution_distance,fitness_delta,11755,-0.4057832529057216,0.0,significant
arithmetic_recombination,trait_profile_distance,child_fitness,11755,-0.6810684696900359,0.0,significant
arithmetic_recombination,trait_profile_distance,fitness_delta,11755,-0.5262676546777172,0.0,significant
homologous_gene_block_recombination,morph_distance,child_fitness,11963,-0.6747979980744311,0.0,significant
homologous_gene_block_recombination,morph_distance,fitness_delta,11963,-0.48183615412855096,0.0,significant
homologous_gene_block_recombination,shape_distance,child_fitness,11963,-0.6924908735664844,0.0,significant
homologous_gene_block_recombination,shape_distance,fitness_delta,11963,-0.44619121348582147,0.0,significant
homologous_gene_block_recombination,occupied_union_material_distance,child_fitness,11963,-0.7110177236179781,0.0,significant
homologous_gene_block_recombination,occupied_union_material_distance,fitness_delta,11963,-0.4030482693344017,0.0,significant
homologous_gene_block_recombination,material_substitution_distance,child_fitness,11963,-0.5573190235450497,0.0,significant
homologous_gene_block_recombination,material_substitution_distance,fitness_delta,11963,-0.32877713087729304,1.690314193302362e-299,significant
homologous_gene_block_recombination,trait_profile_distance,child_fitness,11963,-0.6991889768441516,0.0,significant
homologous_gene_block_recombination,trait_profile_distance,fitness_delta,11963,-0.4747841369989592,0.0,significant
promoter_aligned_cut_and_splice,morph_distance,child_fitness,11266,-0.28640710705577427,1.178415095958156e-211,significant
promoter_aligned_cut_and_splice,morph_distance,fitness_delta,11266,-0.2063557326831261,1.3273674955106622e-108,significant
promoter_aligned_cut_and_splice,shape_distance,child_fitness,11266,-0.2770829023110988,1.1100475358780118e-197,significant
promoter_aligned_cut_and_splice,shape_distance,fitness_delta,11266,-0.20786642422382332,3.316335738979717e-110,significant
promoter_aligned_cut_and_splice,occupied_union_material_distance,child_fitness,11266,-0.2971691150144079,1.834220305059415e-228,significant
promoter_aligned_cut_and_splice,occupied_union_material_distance,fitness_delta,11266,-0.1517375584800509,5.232993529098241e-59,significant
promoter_aligned_cut_and_splice,material_substitution_distance,child_fitness,11266,-0.19713834065133795,4.224896720059915e-99,significant
promoter_aligned_cut_and_splice,material_substitution_distance,fitness_delta,11266,-0.11353118292394061,1.2204310085314695e-33,significant
promoter_aligned_cut_and_splice,trait_profile_distance,child_fitness,11266,-0.31186204841333054,1.307382269259746e-252,significant
promoter_aligned_cut_and_splice,trait_profile_distance,fitness_delta,11266,-0.15662496793734484,8.492292740800296e-63,significant
