crossover_type,parent_slot,pair_count,child_count,run_count,morph_distance_mean,morph_distance_median,morph_distance_std,morph_distance_q25,morph_distance_q75,shape_distance_mean,shape_distance_median,shape_distance_std,shape_distance_q25,shape_distance_q75,occupied_union_material_distance_mean,occupied_union_material_distance_median,occupied_union_material_distance_std,occupied_union_material_distance_q25,occupied_union_material_distance_q75,material_substitution_distance_mean,material_substitution_distance_median,material_substitution_distance_std,material_substitution_distance_q25,material_substitution_distance_q75,trait_profile_distance_mean,trait_profile_distance_median,trait_profile_distance_std,trait_profile_distance_q25,trait_profile_distance_q75,parent_pair_morph_distance_mean,parent_pair_morph_distance_median,parent_pair_morph_distance_std,parent_pair_morph_distance_q25,parent_pair_morph_distance_q75,child_fitness_mean,child_fitness_median,child_fitness_std,child_fitness_q25,child_fitness_q75,fitness_delta_mean,fitness_delta_median,fitness_delta_std,fitness_delta_q25,fitness_delta_q75,morph_distance_min,morph_distance_max,morph_distance_raw_mean,shape_distance_raw_mean,occupied_union_material_distance_raw_mean,material_substitution_distance_raw_mean,size_norm_abs_diff_mean,symmetry_abs_diff_mean,proportion_abs_diff_mean,coverage_abs_diff_mean,relative_joints_abs_diff_mean,relative_limbs_abs_diff_mean,muscle_prop_abs_diff_mean
arithmetic_recombination,closest_parent,11755,1225,10,0.11438792486908765,0.0835258547106213,0.13105836191434378,0.0,0.2010505979097899,0.11536934637742803,0.0277777777777777,0.14774869144922342,0.0,0.1944444444444444,0.3645637411750201,0.3333333333333333,0.36612611747698376,0.0,0.7272727272727273,0.15473778016709552,0.0,0.22659156182827905,0.0,0.3333333333333333,0.15871039956400573,0.1287749287749287,0.16959536217799975,0.0,0.29981227106227104,0.07449308107368445,0.0,0.1228407772144471,0.0,0.1396909690874032,15.386387260894836,6.462141280801477,18.62394726430354,1.654119664934014,25.463251671106967,-15.654109144018886,-8.116988695042828,18.846810294403255,-25.620933533799757,-2.131414841437648,0.0,0.5715081944556015,0.280192048665083,4.15329646958741,5.259123777116121,1.1058273075287113,0.19269957233392526,0.08530063360726452,0.10362966113710477,0.07268384611749136,0.09528022849334826,0.13133788825876574,0.09528022849334826
arithmetic_recombination,parent1,11755,1225,10,0.13169929203884978,0.1025040531822389,0.14426767084416037,0.0,0.23399741232435634,0.12549742426390662,0.0555555555555555,0.1531781636648982,0.0,0.2222222222222222,0.38672741391499815,0.3809523809523809,0.37171680989824896,0.0,0.7647058823529411,0.15969005136103517,0.0,0.22933277198965799,0.0,0.3333333333333333,0.175422309686329,0.1581196581196581,0.1792489964458487,0.0,0.32719646806185265,0.07449308107368445,0.0,0.1228407772144471,0.0,0.1396909690874032,15.386387260894836,6.462141280801477,18.62394726430354,1.654119664934014,25.463251671106967,-15.716319239967017,-8.238321865732514,18.85765793052732,-25.615432052622516,-2.2414431411712616,0.0,0.6241667492513516,0.3225960649809688,4.517907273500638,5.628753721820502,1.110846448319864,0.21498089527351072,0.0990550600070518,0.1199305260172976,0.08298754667044754,0.10927416856055562,0.1578111791084928,0.10927416856055562
arithmetic_recombination,parent2,11755,1225,10,0.13221542786809187,0.1034355399836422,0.14513267123545742,0.0,0.23534740432579704,0.12569828441797815,0.0555555555555555,0.15438364606846677,0.0,0.2222222222222222,0.38625043006153686,0.3809523809523809,0.3721156891387038,0.0,0.7692307692307693,0.16037975633262205,0.0,0.23012873882377718,0.0,0.3333333333333333,0.17597735026499078,0.155067155067155,0.18042685657600985,0.0,0.33160953936891235,0.07449308107368445,0.0,0.1228407772144471,0.0,0.1396909690874032,15.386387260894836,6.462141280801477,18.62394726430354,1.654119664934014,25.463251671106967,-15.4490850770111,-7.9653384664581,18.800473418815304,-25.4664141240133,-2.124992586605082,0.0,0.6457368706986164,0.32386033440058015,4.525138239047214,5.648064653339005,1.1229264142917907,0.21419702190210851,0.09912704155755934,0.11982844179781653,0.08324861760952784,0.11077832578579672,0.15761329652498418,0.11077832578579672
homologous_gene_block_recombination,closest_parent,11963,1225,10,0.12263224127856677,0.1143356709360784,0.12108781242374679,0.0,0.207577614017512,0.15246547224312,0.1111111111111111,0.16717965999677464,0.0,0.2777777777777778,0.4236341436478836,0.5,0.3632739630336254,0.0,0.7727272727272727,0.20140190563971977,0.0769230769230769,0.2382262711953291,0.0,0.375,0.18057708428130068,0.1802266643612797,0.16871206912824738,0.0,0.32200005149421984,0.07723434667683772,0.0,0.11786637103442214,0.0,0.1443375672974064,24.347476068700544,5.724424676747971,27.87251197939937,1.4861489604009201,54.74477820525074,-31.899430081933186,-23.966334871939925,28.15624311013238,-56.71530468000161,-6.640731961083645,0.0,0.5990810929476944,0.3003864171463612,5.48875700075232,7.088940901111761,1.6001839003594416,0.1913706655449799,0.09687112697905911,0.11692022625316947,0.08732582871260458,0.10421511869234233,0.12461461251649016,0.10421511869234232
homologous_gene_block_recombination,parent1,11963,1225,10,0.14020801630692453,0.1340643540573204,0.1323258150318051,0.0,0.23188360300408564,0.1613632775130727,0.1111111111111111,0.16818067042305537,0.0,0.2777777777777778,0.4444705894072439,0.5333333333333333,0.36116392981719614,0.0,0.7857142857142857,0.20627222625590902,0.1111111111111111,0.23687225400775486,0.0,0.4,0.19680556102586194,0.2055297266835728,0.17435749006375312,0.0,0.34333159717775097,0.07723434667683772,0.0,0.11786637103442214,0.0,0.1443375672974064,24.347476068700544,5.724424676747971,27.87251197939937,1.4861489604009201,54.74477820525074,-31.61214969920918,-23.50293801718663,28.363936004722174,-56.73884955977838,-6.452815228389277,0.0,0.6380015363300096,0.34343809779978823,5.809077990470618,7.393546769205049,1.5844687787344311,0.21108627711655362,0.11015834382608115,0.13454679706873973,0.09788802511447331,0.11704927341176598,0.1497828303326273,0.11704927341176598
homologous_gene_block_recombination,parent2,11963,1225,10,0.1427023887663525,0.1361180994938914,0.13385162733824058,0.0,0.23721195124278754,0.164874102556958,0.1111111111111111,0.17179821356453573,0.0,0.2777777777777778,0.4491527415388252,0.5333333333333333,0.3628198664740551,0.0,0.7916666666666666,0.20879962095842844,0.1176470588235294,0.23901497983505834,0.0,0.4,0.19944404788226838,0.2102564102564103,0.17550529501951698,0.0,0.3457875457875458,0.07723434667683772,0.0,0.11786637103442214,0.0,0.1443375672974064,24.347476068700544,5.724424676747971,27.87251197939937,1.4861489604009201,54.74477820525074,-31.09656306602501,-22.922634631654503,28.26753823178481,-56.27367125985856,-6.019752603117971,0.0,0.6343944165266311,0.3495480375538379,5.935467692050489,7.526790938727744,1.5913232466772549,0.21643415694976648,0.11038856574675317,0.13726490010866838,0.09862388196940564,0.11868160010103337,0.1544778365350678,0.11868160010103336
promoter_aligned_cut_and_splice,closest_parent,11266,1225,10,0.1967101666313167,0.1850043949421164,0.12616233875185132,0.11773184190000065,0.2665794252744601,0.25563642819101723,0.25,0.16900577970415204,0.1388888888888889,0.3611111111111111,0.6741548434158618,0.782608695652174,0.2912933609209129,0.5909090909090909,0.8846153846153846,0.31279898570475057,0.3333333333333333,0.2650696398039441,0.0,0.5,0.275718317394864,0.2913461538461538,0.14138482626545787,0.20256766381766375,0.3692609771181199,0.13261655385976334,0.1262329372199499,0.12576813640437634,0.0,0.21947953171089296,6.418921069610157,2.009357419681232,12.593166963863913,0.7594780203591667,4.813102177453665,-34.91569581499824,-34.21321520053722,23.19606389342728,-53.19993629066272,-17.010059846777434,0.0,0.6042863866057526,0.4818395354645801,9.20291141487662,11.458192792472927,2.2552813775963076,0.30475531881507045,0.1738426278788176,0.17222320847387418,0.144961117028621,0.1594879812030895,0.20557901570867854,0.1594879812030895
promoter_aligned_cut_and_splice,parent1,11266,1225,10,0.22075765321474214,0.20961122298463655,0.13180876825234833,0.13363167987549818,0.2963606327235701,0.2600992169161883,0.25,0.16522685051933758,0.1388888888888889,0.3888888888888889,0.6848698761733879,0.782608695652174,0.27664025929987385,0.6,0.8846153846153846,0.3126502337231289,0.3333333333333333,0.2596784962835317,0.0,0.5,0.2961965818348537,0.3092577294500371,0.14213472805943675,0.2215936475804896,0.39078088578088577,0.13261655385976334,0.1262329372199499,0.12576813640437634,0.0,0.21947953171089296,6.418921069610157,2.009357419681232,12.593166963863913,0.7594780203591667,4.813102177453665,-35.15389615222717,-35.133106267671096,23.173849871705503,-53.21612888124005,-17.60655136964819,0.0,0.6794326526035295,0.5407436071903968,9.36357180898278,11.578732469376886,2.215160660394106,0.3271615720043983,0.19342402251027216,0.1911562814367714,0.16032992583387573,0.18729181402480546,0.2369062499441193,0.18729181402480546
promoter_aligned_cut_and_splice,parent2,11266,1225,10,0.23229039300544824,0.22030917191015986,0.13116372097146334,0.14568644966785416,0.3127914264238902,0.28104720200406336,0.2777777777777778,0.16289218256212804,0.1666666666666666,0.3888888888888889,0.7281541558475844,0.8235294117647058,0.2619959394264325,0.6666666666666666,0.9047619047619048,0.3406051018367063,0.3333333333333333,0.2690511806061842,0.0,0.5555555555555556,0.31328967347543707,0.32499882596036433,0.14067511972776992,0.2407280219780219,0.40850386259040095,0.13261655385976334,0.1262329372199499,0.12576813640437634,0.0,0.21947953171089296,6.418921069610157,2.009357419681232,12.593166963863913,0.7594780203591667,4.813102177453665,-34.05021592382729,-32.18889530125158,23.155168642950176,-52.51450287354659,-15.918770340509239,0.0,0.6105553028004735,0.5689929350139188,10.11769927214628,12.388425350612462,2.2707260784661814,0.3490517100061819,0.1995917877298947,0.2029217705189656,0.16564375110953308,0.20029998687007494,0.25154236935835544,0.20029998687007494
